Species,ID,Code,Columella volume,Columella length,Umbo_distancetoTMplane,coltip_distancetoTMplane,totalEClength,totalcollength,totalECDlength,meanTMangle,sdTMangle,angle_FP_TM,angle_Col_EC,TMtotalarea,FPtotalarea,CAtotalarea,RWtotalarea,dis_coltip_TMcentroid
Rock dove,RD01,RD-01-2019,0.187,2.29,0.822005001,0.454889159,1.92356388,2.3141324,4.038638176,17.53478424,3.863309989,33.83764725,19.31104179,22.38639904,1.257867632,0.089198079,2.829451499,1.227172342
Rock dove,RD01,RD01r1-2019,0.1828,2.344,0.85034862,0.47982631,1.87067635,2.35270281,4.04363368,17.33469634,4.06858181,34.24353059,13.58814246,23.96225421,1.18923422,0.09995571,2.84031218,1.26509586
Rock dove,RD01,RD01r2_2019,0.1826,2.40187,0.89958231,0.48452059,1.95563903,2.23058117,4.02310473,19.4772938,3.30121399,33.53511913,18.01035544,21.43376826,1.31678583,0.09181467,2.73750238,1.29176314
Rock dove,RD02,RD-02-2019,0.182,2.322,0.71182347,0.57556516,1.82358712,2.30279119,4.20970794,15.3357084,2.72004266,37.19008014,11.81579066,21.43489912,1.31221537,0.07673939,2.72167775,1.44555429
Rock dove,RD02,RD02r1-2019,0.1833,2.33,0.70421015,0.50670092,1.79562078,2.36085977,4.16318468,14.89301893,3.22802467,37.45188929,17.69598456,22.25470327,1.33404194,0.08428476,2.48797448,1.41766991
Rock dove,RD02,RD02r2_2019,0.1861,2.321,0.5709194,0.6395802,1.8298724,2.3159995,4.2082952,13.1574713,3.5018282,33.9472286,19.7682111,19.1516014,1.355517,0.0537873,2.5094353,1.5791869
Rock dove,RD03,RD-03-2019,0.145,2.028,0.88379986,0.52227447,1.8319173,1.92814012,4.16176355,19.24464617,2.78656228,28.00884563,12.84960232,20.92468818,1.08990091,0.07016093,2.33623915,1.42513689
Rock dove,RD03,RD03r1-2019,0.1463,1.995,0.93617676,0.51361615,1.83587636,2.00721789,4.0966479,20.21165286,3.14085839,27.7528316,13.15361839,21.32883937,1.01515452,0.08419377,2.35799942,1.39963397
Rock dove,RD03,RD03r2_2019,0.1458,2.0345,0.88999456,0.5171902,1.82565358,1.95113769,4.11046002,19.61493884,2.94211786,28.54783811,12.49311733,20.56458676,1.06861418,0.07528938,2.39750245,1.39662403
Rock dove,RD04,RD-04-2019,0.0922,2.011,0.9134763,0.4918599,1.994912,2.063555,3.9322515,19.5965407,3.8056718,34.4370602,16.4068937,21.5382999,1.0289039,0.1327877,2.8083659,1.4139177
Rock dove,RD04,RD04r1-2019,0.0944,2.01,0.9227825,0.4943153,1.9663919,2.0354154,3.8894048,19.7936753,4.1083835,34.1624572,15.2704982,21.414882,1.013468,0.1300603,2.6961783,1.3749205
Rock dove,RD04,RD04r2_2019,0.09305,2.025,0.8463101,0.4964429,1.8795598,2.0391874,3.8894564,19.120751,3.8516519,36.0902337,20.1318193,19.7930019,1.0112189,0.1374377,2.6521952,1.4244567
